	name	latitude	longitude	scores	category	price
1574	PRICH(金鹰店)	31.236506470721615	121.4566260757571	-	shops	0
1575	藏晶堂天然水晶	31.2347608596725	121.46115856995962	-	shops	0
1576	PH7(梅龙镇伊势丹店)	31.23709134278742	121.4592877783954	-	shops	0
1577	Trussardi(中信泰富店)	31.236676069737424	121.45779844604336	-	shops	0
1578	Dsquared2(恒隆广场店)	31.235721938685078	121.4562310135559	-	shops	0
1579	SEE BY CHLOE(恒隆广场店)	31.235721938685078	121.4562310135559	-	shops	0
1580	BLUES HEROES	31.236506470721615	121.4566260757571	-	shops	0
1581	西村名物(金鹰店)	31.236506470721615	121.4566260757571	-	shops	0
1582	本舟手工制鞋	31.236643123797492	121.45425135741108	-	shops	0
1583	鹏元古装戏服出租	31.23870690330758	121.46026053250158	-	shops	0
1584	Victorinox瑞士军刀(金鹰国际店)	31.236506470721615	121.4566260757571	-	shops	0
1585	BLANCPAIN	31.236404556312955	121.45881744995381	-	shops	0
1586	外交官(金鹰店)	31.236506470721615	121.4566260757571	-	shops	0
1587	逸居生活(上海商城店)	31.234693673637235	121.45363281242689	-	shops	0
1588	老虎脚掌鞋店	31.23475348465806	121.46100109559347	-	shops	0
1589	MILLIES(伊势丹店)	31.23709134278742	121.4592877783954	-	shops	0
1590	梦思芭克	31.236737900864814	121.45860178752562	-	shops	13684
1591	DF服饰	31.234589537791813	121.46140733666464	-	shops	0
1593	HI panda(南京西路店)	31.236139191415656	121.45774433497469	-	shops	0
1594	希思黎(梅龙镇店)	31.23709134278742	121.4592877783954	-	shops	0
1595	衣索(梅陇镇店)	31.23709134278742	121.4592877783954	-	shops	0
1597	中老年服饰	31.237395651944745	121.45419313068808	-	shops	0
1598	静安小筑	31.23475348465806	121.46100109559347	-	shops	0
1599	Le Lutin	31.236506470721615	121.4566260757571	-	shops	0
1600	Seven Days(中信泰富店)	31.236676069737424	121.45779844604336	-	shops	0
